Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumberCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
28,Yes,Travel_Rarely,Research & Development,24,Bachelors,Life Sciences,19,High,Male,Medium,Entry,Laboratory Technician,High,Single,2028,5,Yes,14,Excellent,Medium,None,6,4,Better,4,2,0,3
29,No,Travel_Rarely,Research & Development,21,Masters,Life Sciences,20,Medium,Female,Very High,Senior,Manufacturing Director,Low,Divorced,9980,1,No,11,Excellent,High,Low,10,1,Better,10,9,8,8
32,No,Travel_Rarely,Research & Development,5,College,Life Sciences,21,Low,Male,Very High,Entry,Research Scientist,Medium,Divorced,3298,0,Yes,12,Excellent,Very High,Medium,7,5,Good,6,2,0,5
22,No,Non-Travel,Research & Development,16,College,Medical,22,Very High,Male,Very High,Entry,Laboratory Technician,Very High,Divorced,2935,1,Yes,13,Excellent,Medium,Medium,1,2,Good,1,0,0,0
53,No,Travel_Rarely,Sales,2,Masters,Life Sciences,23,Low,Female,Medium,Manager,Manager,Very High,Married,15427,2,No,16,Excellent,High,None,31,3,Better,25,8,3,7
38,No,Travel_Rarely,Research & Development,2,Bachelors,Life Sciences,24,Very High,Male,High,Entry,Research Scientist,Very High,Single,3944,5,Yes,11,Excellent,High,None,6,3,Better,3,2,1,2
24,No,Non-Travel,Research & Development,11,College,Other,26,Low,Female,Very High,Experienced,Manufacturing Director,High,Divorced,4011,0,No,18,Excellent,Very High,Low,5,5,Good,4,2,1,3
36,Yes,Travel_Rarely,Sales,9,Masters,Life Sciences,27,High,Male,Medium,Entry,Sales Representative,Low,Single,3407,7,No,23,Outstanding,Medium,None,10,4,Better,5,3,0,3
34,No,Travel_Rarely,Research & Development,7,Masters,Life Sciences,28,Low,Female,High,Senior,Research Director,Medium,Single,11994,0,No,11,Excellent,High,None,13,4,Better,12,6,2,11
21,No,Travel_Rarely,Research & Development,15,College,Life Sciences,30,High,Male,High,Entry,Research Scientist,Very High,Single,1232,1,No,14,Excellent,Very High,None,0,6,Better,0,0,0,0
34,Yes,Travel_Rarely,Research & Development,6,Below College,Medical,31,Medium,Male,High,Entry,Research Scientist,Low,Single,2960,2,No,11,Excellent,High,None,8,2,Better,4,2,1,3
53,No,Travel_Rarely,Research & Development,5,Bachelors,Other,32,High,Female,High,Director,Manager,High,Divorced,19094,4,No,11,Excellent,Very High,Low,26,3,Good,14,13,4,8
32,Yes,Travel_Frequently,Research & Development,16,Below College,Life Sciences,33,Medium,Female,Low,Entry,Research Scientist,Low,Single,3919,1,Yes,22,Outstanding,Medium,None,10,5,Better,10,2,6,7
42,No,Travel_Rarely,Sales,8,Masters,Marketing,35,High,Male,High,Experienced,Sales Executive,Medium,Married,6825,0,No,11,Excellent,Very High,Low,10,2,Better,9,7,4,2
44,No,Travel_Rarely,Research & Development,7,Masters,Medical,36,Low,Female,Medium,Senior,Healthcare Representative,Very High,Married,10248,3,No,14,Excellent,Very High,Low,24,4,Better,22,6,5,17
46,No,Travel_Rarely,Sales,2,Masters,Marketing,38,Medium,Female,High,Director,Manager,Low,Single,18947,3,No,12,Excellent,Very High,None,22,2,Good,2,2,2,1
33,No,Travel_Rarely,Research & Development,2,Bachelors,Medical,39,High,Male,High,Entry,Laboratory Technician,Very High,Single,2496,4,No,11,Excellent,Very High,None,7,3,Better,1,1,0,0
44,No,Travel_Rarely,Research & Development,10,Masters,Other,40,Very High,Male,High,Experienced,Healthcare Representative,Very High,Married,6465,2,Yes,13,Excellent,Very High,None,9,5,Best,4,2,1,3
30,No,Travel_Rarely,Research & Development,9,College,Medical,41,Very High,Male,Medium,Entry,Laboratory Technician,High,Single,2206,1,No,13,Excellent,Low,None,10,5,Better,10,0,1,8
39,Yes,Travel_Rarely,Sales,5,Bachelors,Technical Degree,42,Very High,Male,High,Experienced,Sales Representative,Very High,Married,2086,3,No,14,Excellent,High,Low,19,6,Best,1,0,0,0
24,Yes,Travel_Rarely,Research & Development,1,Bachelors,Medical,45,Medium,Male,High,Entry,Research Scientist,Very High,Married,2293,2,Yes,16,Excellent,Low,Low,6,2,Good,2,0,2,0
43,No,Travel_Rarely,Research & Development,2,College,Medical,46,Very High,Female,Very High,Entry,Research Scientist,High,Divorced,2645,1,No,12,Excellent,Very High,Medium,6,3,Good,5,3,1,4
50,Yes,Travel_Rarely,Sales,3,College,Marketing,47,Low,Male,Medium,Entry,Sales Representative,High,Married,2683,1,Yes,14,Excellent,High,None,3,2,Better,3,2,0,2
35,No,Travel_Rarely,Sales,2,Bachelors,Marketing,49,Very High,Female,High,Entry,Sales Representative,Very High,Married,2014,1,No,13,Excellent,Low,None,2,3,Better,2,2,2,2
36,No,Travel_Rarely,Research & Development,5,Masters,Life Sciences,51,Medium,Female,Medium,Entry,Research Scientist,Low,Married,3419,9,Yes,14,Excellent,Very High,Low,6,3,Best,1,1,0,0
33,No,Travel_Frequently,Sales,1,Bachelors,Life Sciences,52,High,Female,Very High,Experienced,Sales Executive,Low,Married,5376,2,No,19,Excellent,Low,Medium,10,3,Better,5,3,1,3
35,No,Travel_Rarely,Research & Development,4,College,Other,53,High,Male,High,Entry,Laboratory Technician,Very High,Divorced,1951,1,No,12,Excellent,High,Low,1,3,Better,1,0,0,0
27,No,Travel_Rarely,Research & Development,2,Masters,Life Sciences,54,Very High,Female,High,Entry,Laboratory Technician,Low,Divorced,2341,1,No,13,Excellent,Very High,Low,1,6,Better,1,0,0,0
26,Yes,Travel_Rarely,Research & Development,25,Bachelors,Life Sciences,55,Low,Male,Low,Entry,Laboratory Technician,High,Single,2293,1,No,12,Excellent,High,None,1,2,Good,1,0,0,1
27,No,Travel_Frequently,Sales,8,Bachelors,Life Sciences,56,Very High,Male,High,Senior,Sales Executive,High,Single,8726,1,No,15,Excellent,Very High,None,9,0,Better,9,8,1,7
30,No,Travel_Frequently,Research & Development,1,College,Medical,57,High,Female,High,Experienced,Laboratory Technician,Very High,Single,4011,1,No,23,Outstanding,Very High,None,12,2,Better,12,8,3,7
41,Yes,Travel_Rarely,Research & Development,12,Bachelors,Technical Degree,58,Medium,Female,High,Director,Research Director,High,Married,19545,1,No,12,Excellent,Very High,None,23,0,Better,22,15,15,8
34,No,Non-Travel,Sales,23,Masters,Marketing,60,Medium,Male,High,Experienced,Sales Executive,High,Single,4568,0,No,20,Outstanding,High,None,10,2,Better,9,5,8,7
37,No,Travel_Rarely,Research & Development,19,College,Life Sciences,61,Medium,Male,High,Entry,Research Scientist,Medium,Married,3022,4,No,21,Outstanding,Low,None,8,1,Better,1,0,0,0
46,No,Travel_Frequently,Sales,5,Masters,Marketing,62,Low,Male,High,Experienced,Sales Executive,Very High,Single,5772,4,Yes,21,Outstanding,High,None,14,4,Better,9,6,0,8
35,No,Travel_Rarely,Research & Development,8,Below College,Life Sciences,63,Very High,Male,Very High,Entry,Laboratory Technician,Very High,Married,2269,1,No,19,Excellent,Very High,None,1,2,Better,1,0,0,1
48,Yes,Travel_Rarely,Research & Development,1,College,Life Sciences,64,Low,Male,Medium,Senior,Laboratory Technician,High,Single,5381,9,Yes,13,Excellent,Very High,None,23,2,Better,1,0,0,0
28,Yes,Travel_Rarely,Research & Development,5,Masters,Technical Degree,65,High,Male,High,Entry,Laboratory Technician,High,Single,3441,1,Yes,13,Excellent,High,None,2,3,Good,2,2,2,2
44,No,Travel_Rarely,Sales,1,Doctorate,Marketing,68,Medium,Female,High,Experienced,Sales Executive,Low,Divorced,5454,5,Yes,21,Outstanding,High,Low,9,2,Good,4,3,1,3
35,No,Non-Travel,Research & Development,11,College,Medical,70,High,Male,Medium,Senior,Healthcare Representative,Low,Married,9884,2,Yes,13,Excellent,High,Low,10,3,Better,4,0,2,3
26,No,Travel_Rarely,Sales,23,Bachelors,Marketing,72,High,Female,Medium,Experienced,Sales Executive,Very High,Married,4157,7,Yes,19,Excellent,High,Low,5,2,Good,2,2,0,0
33,No,Travel_Frequently,Research & Development,1,College,Life Sciences,73,Low,Female,High,Senior,Research Director,Very High,Single,13458,1,Yes,12,Excellent,High,None,15,1,Better,15,14,8,12
35,No,Travel_Frequently,Sales,18,Doctorate,Life Sciences,74,Medium,Male,High,Senior,Sales Executive,Low,Married,9069,1,No,22,Outstanding,Very High,Low,9,3,Good,9,8,1,8
35,No,Travel_Rarely,Research & Development,23,Masters,Medical,75,High,Female,High,Entry,Laboratory Technician,Low,Married,4014,3,Yes,15,Excellent,High,Low,4,3,Better,2,2,2,2
31,No,Travel_Rarely,Research & Development,7,Masters,Life Sciences,76,Very High,Male,High,Experienced,Laboratory Technician,Very High,Divorced,5915,3,No,22,Outstanding,Very High,Low,10,3,Good,7,7,1,7
37,No,Travel_Rarely,Research & Development,1,Masters,Life Sciences,77,Low,Male,Medium,Experienced,Manufacturing Director,High,Divorced,5993,1,No,18,Excellent,High,Low,7,2,Best,7,5,0,7
32,No,Travel_Rarely,Research & Development,1,Bachelors,Medical,78,Low,Male,High,Experienced,Manufacturing Director,Very High,Married,6162,1,Yes,22,Outstanding,Medium,Low,9,3,Better,9,8,7,8
38,No,Travel_Frequently,Research & Development,29,Doctorate,Life Sciences,79,Very High,Female,High,Experienced,Laboratory Technician,Very High,Single,2406,1,No,11,Excellent,Very High,None,10,2,Better,10,3,9,9
50,No,Travel_Rarely,Research & Development,7,College,Medical,80,Medium,Female,Medium,Director,Research Director,High,Divorced,18740,5,Yes,12,Excellent,Very High,Low,29,2,Good,27,3,13,8
59,No,Travel_Rarely,Sales,25,Bachelors,Life Sciences,81,Low,Female,High,Senior,Sales Executive,Low,Single,7637,7,No,11,Excellent,Very High,None,28,3,Good,21,16,7,9
36,No,Travel_Rarely,Research & Development,8,Bachelors,Technical Degree,83,High,Female,High,Senior,Healthcare Representative,High,Divorced,10096,1,No,13,Excellent,Medium,High,17,2,Better,17,14,12,8
55,No,Travel_Rarely,Research & Development,8,Bachelors,Medical,84,Very High,Female,High,Manager,Manager,High,Divorced,14756,2,Yes,14,Excellent,High,High,21,2,Better,5,0,0,2
36,No,Travel_Frequently,Research & Development,11,Bachelors,Life Sciences,85,Medium,Male,Medium,Experienced,Manufacturing Director,Medium,Single,6499,1,No,13,Excellent,High,None,6,3,Better,6,5,0,3
45,No,Travel_Rarely,Research & Development,7,Bachelors,Life Sciences,86,Medium,Male,High,Senior,Research Scientist,Low,Divorced,9724,2,No,17,Excellent,High,Low,25,2,Better,1,0,0,0
35,No,Travel_Frequently,Research & Development,1,Bachelors,Medical,88,Medium,Male,High,Entry,Research Scientist,Low,Married,2194,4,No,13,Excellent,Very High,Low,5,2,Good,3,2,1,2
36,Yes,Travel_Rarely,Research & Development,9,Bachelors,Medical,90,Very High,Male,Medium,Entry,Research Scientist,High,Married,3388,0,Yes,17,Excellent,Low,Low,2,0,Good,1,0,0,0
59,No,Travel_Frequently,Sales,1,Below College,Life Sciences,91,Low,Female,Medium,Experienced,Sales Executive,High,Single,5473,7,No,11,Excellent,Very High,None,20,2,Good,4,3,1,3
29,No,Travel_Rarely,Research & Development,2,Bachelors,Life Sciences,94,High,Male,High,Entry,Research Scientist,Medium,Married,2703,0,No,23,Outstanding,Very High,Low,6,3,Better,5,4,0,4
31,No,Travel_Rarely,Research & Development,1,Masters,Medical,95,High,Male,High,Entry,Research Scientist,Medium,Single,2501,1,No,17,Excellent,Medium,None,1,4,Better,1,1,1,0
32,No,Travel_Rarely,Research & Development,1,Bachelors,Life Sciences,96,Medium,Male,High,Experienced,Research Scientist,Medium,Married,6220,1,No,17,Excellent,Medium,Medium,10,3,Better,10,4,0,9
36,No,Travel_Rarely,Research & Development,6,Bachelors,Life Sciences,97,Medium,Female,Very High,Entry,Laboratory Technician,Very High,Married,3038,3,No,12,Excellent,Medium,None,5,3,Better,1,0,0,0
31,No,Travel_Rarely,Research & Development,8,Masters,Life Sciences,98,High,Female,High,Experienced,Manufacturing Director,Very High,Single,4424,1,No,23,Outstanding,Very High,None,11,2,Better,11,7,1,8
35,No,Travel_Rarely,Sales,1,Masters,Marketing,100,High,Male,Medium,Experienced,Sales Executive,Low,Single,4312,0,No,14,Excellent,Medium,None,16,2,Better,15,13,2,8
45,No,Travel_Rarely,Research & Development,6,Masters,Other,101,Very High,Male,High,Senior,Research Director,Low,Married,13245,4,Yes,14,Excellent,Medium,None,17,3,Best,0,0,0,0
37,No,Travel_Rarely,Research & Development,7,Masters,Medical,102,Low,Male,High,Senior,Research Director,High,Single,13664,4,No,13,Excellent,Low,None,16,3,Best,5,2,0,2
46,No,Travel_Rarely,Human Resources,5,College,Medical,103,Medium,Male,High,Experienced,Human Resources,Medium,Divorced,5021,8,Yes,22,Outstanding,Very High,Low,16,2,Better,4,2,0,2
30,No,Travel_Rarely,Research & Development,1,Below College,Life Sciences,104,Very High,Male,Medium,Experienced,Laboratory Technician,Very High,Married,5126,1,Yes,12,Excellent,High,Medium,10,1,Good,10,8,3,0
35,No,Travel_Rarely,Research & Development,1,Bachelors,Medical,105,Medium,Male,Medium,Entry,Research Scientist,High,Single,2859,1,No,18,Excellent,Low,None,6,3,Better,6,4,0,4
55,No,Travel_Rarely,Sales,1,College,Life Sciences,106,Low,Male,High,Senior,Sales Executive,Very High,Married,10239,3,No,14,Excellent,Very High,Low,24,4,Better,1,0,1,0
38,No,Non-Travel,Research & Development,6,Bachelors,Medical,107,Medium,Female,Low,Experienced,Research Scientist,Very High,Divorced,5329,7,Yes,12,Excellent,Very High,High,17,3,Better,13,11,1,9
34,No,Travel_Rarely,Research & Development,1,College,Medical,110,Low,Male,High,Experienced,Manufacturing Director,Medium,Married,4325,1,No,15,Excellent,High,None,5,2,Better,5,2,1,3
56,No,Travel_Rarely,Research & Development,7,Bachelors,Life Sciences,112,Very High,Male,Low,Senior,Manufacturing Director,Very High,Single,7260,4,No,11,Excellent,Low,None,37,3,Good,6,4,0,2
23,No,Travel_Rarely,Sales,2,Below College,Technical Degree,113,High,Male,High,Entry,Sales Representative,Low,Divorced,2322,3,No,13,Excellent,High,Low,3,3,Better,0,0,0,0
51,No,Travel_Rarely,Research & Development,9,Masters,Life Sciences,116,Very High,Male,High,Entry,Laboratory Technician,Very High,Married,2075,3,No,23,Outstanding,Medium,Medium,10,4,Better,4,2,0,3
30,No,Travel_Rarely,Research & Development,2,Bachelors,Life Sciences,117,High,Male,Medium,Experienced,Healthcare Representative,Very High,Married,4152,1,No,19,Excellent,Low,High,11,3,Better,11,10,10,8
46,Yes,Travel_Rarely,Sales,9,College,Medical,118,High,Male,Medium,Senior,Sales Executive,Very High,Single,9619,1,No,16,Excellent,Very High,None,9,3,Better,9,8,4,7
40,No,Travel_Frequently,Research & Development,1,Masters,Life Sciences,119,High,Male,Medium,Manager,Healthcare Representative,Medium,Married,13503,1,No,22,Outstanding,Very High,Low,22,3,Good,22,3,11,11
51,No,Travel_Rarely,Sales,21,Masters,Marketing,120,High,Male,High,Experienced,Sales Executive,Very High,Single,5441,0,Yes,22,Outstanding,Very High,None,11,2,Bad,10,7,1,0
30,No,Travel_Rarely,Sales,4,College,Medical,121,High,Female,Medium,Experienced,Sales Executive,Medium,Divorced,5209,1,Yes,12,Excellent,Medium,High,11,4,Good,11,8,2,7
46,No,Travel_Frequently,Research & Development,1,Bachelors,Medical,124,High,Male,Medium,Senior,Healthcare Representative,Low,Married,10673,2,Yes,13,Excellent,High,Low,21,5,Good,10,9,9,5
32,No,Travel_Rarely,Sales,6,Masters,Medical,125,Medium,Male,High,Experienced,Sales Executive,High,Single,5010,1,No,16,Excellent,Low,None,12,0,Better,11,8,5,7
54,No,Travel_Rarely,Research & Development,2,Masters,Technical Degree,126,Low,Female,High,Senior,Research Director,High,Married,13549,9,No,12,Excellent,Low,Low,16,5,Bad,4,3,0,3
24,No,Travel_Rarely,Sales,3,College,Other,128,Low,Female,High,Experienced,Sales Executive,High,Married,4999,0,No,21,Outstanding,Low,Low,4,2,Good,3,2,0,2
28,No,Non-Travel,Sales,4,Bachelors,Medical,129,Medium,Male,High,Experienced,Sales Executive,High,Married,4221,1,No,15,Excellent,Medium,None,5,3,Best,5,4,0,4
58,No,Travel_Rarely,Sales,10,Masters,Medical,131,Very High,Male,High,Manager,Sales Executive,High,Single,13872,0,No,13,Excellent,High,None,38,1,Good,37,10,1,8
44,No,Non-Travel,Research & Development,23,Bachelors,Medical,132,Medium,Male,High,Experienced,Laboratory Technician,Medium,Married,2042,4,No,12,Excellent,High,Low,17,3,Best,3,2,1,2
37,Yes,Travel_Rarely,Human Resources,6,Masters,Human Resources,133,High,Male,High,Entry,Human Resources,Low,Divorced,2073,4,Yes,22,Outstanding,Very High,None,7,3,Better,3,2,0,2
32,No,Travel_Rarely,Research & Development,1,Below College,Life Sciences,134,Very High,Male,High,Entry,Research Scientist,Low,Single,2956,1,No,13,Excellent,Very High,None,1,2,Better,1,0,0,0
20,Yes,Travel_Frequently,Research & Development,6,Bachelors,Life Sciences,137,Very High,Female,Medium,Entry,Laboratory Technician,Very High,Single,2926,1,Yes,18,Excellent,Medium,None,1,5,Better,1,0,1,0
34,No,Travel_Rarely,Research & Development,6,Masters,Other,138,Low,Female,High,Experienced,Research Scientist,High,Single,4809,1,No,14,Excellent,High,None,16,3,Better,16,13,2,10
37,No,Non-Travel,Research & Development,2,College,Life Sciences,139,High,Male,Medium,Experienced,Healthcare Representative,Very High,Divorced,5163,5,No,14,Excellent,Very High,Low,17,2,Best,1,0,0,0
59,No,Non-Travel,Human Resources,2,Masters,Human Resources,140,High,Female,Medium,Director,Manager,Very High,Married,18844,9,No,21,Outstanding,Very High,Low,30,3,Better,3,2,2,2
50,No,Travel_Frequently,Research & Development,1,Bachelors,Life Sciences,141,Low,Female,High,Director,Research Director,Medium,Married,18172,3,Yes,19,Excellent,Low,None,28,1,Good,8,3,0,7
25,Yes,Travel_Rarely,Sales,5,Bachelors,Marketing,142,High,Male,Medium,Experienced,Sales Executive,High,Single,5744,1,Yes,11,Excellent,Very High,None,6,1,Better,6,4,0,3
25,No,Travel_Rarely,Research & Development,7,Below College,Medical,143,Very High,Male,Medium,Entry,Research Scientist,Very High,Married,2889,1,No,11,Excellent,High,Medium,2,2,Better,2,2,2,1
22,No,Travel_Rarely,Research & Development,15,Bachelors,Medical,144,Medium,Female,High,Entry,Laboratory Technician,Very High,Single,2871,1,No,15,Excellent,High,None,1,5,Better,0,0,0,0
51,No,Travel_Frequently,Research & Development,1,Masters,Medical,145,Low,Female,Medium,Senior,Healthcare Representative,Low,Single,7484,3,No,20,Outstanding,High,None,23,1,Good,13,12,12,8
34,Yes,Travel_Frequently,Research & Development,7,Bachelors,Life Sciences,147,Low,Male,Low,Experienced,Laboratory Technician,High,Single,6074,1,Yes,24,Outstanding,Very High,None,9,3,Better,9,7,0,6
54,No,Non-Travel,Human Resources,26,Bachelors,Human Resources,148,Very High,Female,Very High,Manager,Manager,Very High,Single,17328,2,Yes,12,Excellent,High,None,23,3,Better,5,3,4,4
24,No,Travel_Rarely,Research & Development,18,Below College,Life Sciences,150,Medium,Male,High,Entry,Laboratory Technician,High,Married,2774,0,No,12,Excellent,High,Low,6,2,Better,5,3,1,2
34,No,Travel_Rarely,Research & Development,6,Masters,Life Sciences,151,High,Female,Medium,Experienced,Research Scientist,Medium,Divorced,4505,6,No,15,Excellent,High,Low,12,3,Better,1,0,0,0
37,No,Travel_Rarely,Sales,3,Bachelors,Life Sciences,152,High,Male,High,Senior,Sales Executive,Very High,Single,7428,2,No,12,Excellent,Low,None,12,3,Better,5,3,1,3
34,No,Travel_Rarely,Research & Development,5,Bachelors,Medical,153,High,Female,Medium,Senior,Manager,Low,Single,11631,2,No,12,Excellent,Very High,None,14,6,Better,11,10,5,8
36,No,Travel_Frequently,Sales,11,College,Technical Degree,154,Medium,Female,High,Senior,Sales Executive,Very High,Married,9738,0,No,14,Excellent,High,Low,10,6,Better,9,7,2,8
36,No,Travel_Rarely,Research & Development,3,College,Life Sciences,155,Low,Female,High,Entry,Laboratory Technician,Very High,Divorced,2835,5,No,22,Outstanding,Low,Low,7,2,Better,1,0,0,0
43,No,Travel_Frequently,Sales,26,College,Life Sciences,158,High,Male,High,Manager,Manager,Very High,Married,16959,1,Yes,12,Excellent,Very High,Medium,25,3,Best,25,12,4,12
30,No,Travel_Frequently,Research & Development,23,Bachelors,Life Sciences,159,Low,Male,Low,Entry,Research Scientist,High,Divorced,2613,1,No,25,Outstanding,High,High,10,2,Good,10,7,0,9
33,No,Non-Travel,Sales,22,College,Marketing,160,High,Male,High,Experienced,Sales Executive,Medium,Married,6146,0,No,13,Excellent,Low,Low,8,2,Best,7,7,0,7
56,Yes,Travel_Rarely,Research & Development,14,Masters,Life Sciences,161,Medium,Female,High,Entry,Research Scientist,Medium,Married,4963,9,Yes,18,Excellent,Low,High,7,2,Better,5,4,4,3
51,No,Travel_Rarely,Research & Development,6,Bachelors,Life Sciences,162,Low,Male,High,Director,Research Director,High,Single,19537,7,No,13,Excellent,High,None,23,5,Better,20,18,15,15
31,Yes,Travel_Rarely,Sales,6,Masters,Life Sciences,163,Medium,Male,Low,Experienced,Sales Executive,High,Married,6172,4,Yes,18,Excellent,Medium,None,12,3,Good,7,7,7,7
26,No,Travel_Rarely,Research & Development,6,Bachelors,Other,164,High,Female,Medium,Entry,Research Scientist,Medium,Married,2368,1,No,19,Excellent,High,None,5,3,Good,5,4,4,3
58,Yes,Travel_Rarely,Research & Development,23,Masters,Medical,165,Very High,Female,High,Senior,Healthcare Representative,Very High,Married,10312,1,No,12,Excellent,Very High,Low,40,3,Good,40,10,15,6
19,Yes,Travel_Rarely,Sales,22,Below College,Marketing,167,Very High,Male,High,Entry,Sales Representative,High,Single,1675,1,Yes,19,Excellent,Very High,None,0,2,Good,0,0,0,0
22,No,Travel_Rarely,Research & Development,2,Below College,Technical Degree,169,High,Male,High,Entry,Laboratory Technician,Very High,Married,2523,0,No,14,Excellent,High,Low,3,2,Better,2,1,2,1
49,No,Travel_Rarely,Research & Development,20,Masters,Medical,170,High,Female,High,Experienced,Manufacturing Director,Low,Married,6567,1,No,14,Excellent,High,None,16,2,Good,15,11,5,11
43,No,Travel_Frequently,Research & Development,28,Bachelors,Medical,171,Medium,Female,Very High,Entry,Research Scientist,High,Single,4739,4,No,12,Excellent,Very High,None,18,2,Better,3,2,1,2
50,No,Travel_Frequently,Sales,12,Bachelors,Marketing,174,High,Female,High,Senior,Sales Executive,Very High,Single,9208,4,No,11,Excellent,Very High,None,16,3,Better,2,2,2,1
31,Yes,Travel_Rarely,Sales,20,Bachelors,Life Sciences,175,Medium,Female,Low,Experienced,Sales Executive,High,Married,4559,3,Yes,11,Excellent,High,Low,4,2,Better,2,2,2,2
41,No,Travel_Rarely,Sales,9,Below College,Life Sciences,176,High,Male,High,Senior,Sales Executive,High,Divorced,8189,3,Yes,13,Excellent,High,Low,12,2,Better,9,7,0,7
26,No,Travel_Rarely,Human Resources,25,Below College,Life Sciences,177,High,Female,High,Entry,Human Resources,High,Married,2942,1,No,23,Outstanding,Very High,Low,8,3,Better,8,7,5,7
36,No,Travel_Rarely,Research & Development,6,College,Medical,178,Medium,Male,High,Experienced,Manufacturing Director,Medium,Divorced,4941,6,No,20,Outstanding,Very High,Medium,7,0,Better,3,2,0,1
51,Yes,Travel_Frequently,Research & Development,8,Masters,Life Sciences,179,Low,Male,Low,Senior,Manufacturing Director,Very High,Single,10650,2,No,15,Excellent,Very High,None,18,2,Better,4,2,0,3
39,No,Travel_Rarely,Sales,4,Masters,Life Sciences,182,Very High,Female,Medium,Experienced,Sales Executive,High,Married,5902,4,No,14,Excellent,High,Low,17,1,Best,15,11,5,9
25,No,Travel_Rarely,Sales,28,Bachelors,Life Sciences,183,Low,Male,Medium,Experienced,Sales Executive,High,Married,8639,2,No,18,Excellent,Very High,None,6,3,Better,2,2,2,2
30,No,Travel_Rarely,Human Resources,9,Bachelors,Human Resources,184,High,Male,High,Experienced,Human Resources,Very High,Married,6347,0,Yes,19,Excellent,Very High,None,12,2,Bad,11,9,4,7
32,Yes,Travel_Rarely,Research & Development,9,Bachelors,Medical,190,Low,Female,High,Entry,Laboratory Technician,Low,Single,4200,7,No,22,Outstanding,Low,None,10,2,Best,5,4,0,4
